verified	Month	Year	count
FALSE	5	1996	1
FALSE	6	1996	2
FALSE	8	1996	1
FALSE	9	1996	1
FALSE	11	1996	9
FALSE	12	1996	17
FALSE	1	1997	7
FALSE	2	1997	3
TRUE	2	1997	1
TRUE	3	1997	2
FALSE	3	1997	10
FALSE	4	1997	15
FALSE	5	1997	20
FALSE	6	1997	28
TRUE	7	1997	5
FALSE	7	1997	29
TRUE	8	1997	52
FALSE	8	1997	475
TRUE	9	1997	46
FALSE	9	1997	506
FALSE	10	1997	832
TRUE	10	1997	76
TRUE	11	1997	68
FALSE	11	1997	764
TRUE	12	1997	94
FALSE	12	1997	866
FALSE	1	1998	1070
TRUE	1	1998	92
FALSE	2	1998	975
TRUE	2	1998	79
TRUE	3	1998	127
FALSE	3	1998	1349
TRUE	4	1998	117
FALSE	4	1998	1493
FALSE	5	1998	1667
TRUE	5	1998	149
FALSE	6	1998	2026
TRUE	6	1998	205
TRUE	7	1998	242
FALSE	7	1998	2341
TRUE	8	1998	213
FALSE	8	1998	1975
FALSE	9	1998	1702
TRUE	9	1998	194
FALSE	10	1998	2061
TRUE	10	1998	224
TRUE	11	1998	241
FALSE	11	1998	1994
TRUE	12	1998	263
FALSE	12	1998	2213
FALSE	1	1999	2366
TRUE	1	1999	315
FALSE	2	1999	2330
TRUE	2	1999	291
TRUE	3	1999	344
FALSE	3	1999	2653
TRUE	4	1999	397
FALSE	4	1999	2818
FALSE	5	1999	2843
TRUE	5	1999	382
FALSE	6	1999	3434
TRUE	6	1999	408
TRUE	7	1999	421
FALSE	7	1999	3369
TRUE	8	1999	391
FALSE	8	1999	3270
FALSE	9	1999	3002
TRUE	9	1999	481
FALSE	10	1999	5697
TRUE	10	1999	760
TRUE	11	1999	915
FALSE	11	1999	7326
TRUE	12	1999	1245
FALSE	12	1999	13614
TRUE	1	2000	1445
FALSE	1	2000	15315
FALSE	2	2000	13624
TRUE	2	2000	1316
TRUE	3	2000	1585
FALSE	3	2000	16420
TRUE	4	2000	1702
FALSE	4	2000	17900
TRUE	5	2000	2028
FALSE	5	2000	22849
FALSE	6	2000	22520
TRUE	6	2000	2098
TRUE	7	2000	2093
FALSE	7	2000	22508
TRUE	8	2000	1869
FALSE	8	2000	21089
TRUE	9	2000	1558
FALSE	9	2000	15984
FALSE	10	2000	18250
TRUE	10	2000	1760
TRUE	11	2000	1530
FALSE	11	2000	16529
TRUE	12	2000	1673
FALSE	12	2000	17462
FALSE	1	2001	18850
TRUE	1	2001	1779
FALSE	2	2001	16492
TRUE	2	2001	1611
TRUE	3	2001	1697
FALSE	3	2001	17870
TRUE	4	2001	1652
FALSE	4	2001	16777
TRUE	5	2001	2149
FALSE	5	2001	18910
FALSE	6	2001	21073
TRUE	6	2001	2447
TRUE	7	2001	2855
FALSE	7	2001	23316
TRUE	8	2001	3083
FALSE	8	2001	22727
TRUE	9	2001	2457
FALSE	9	2001	17414
FALSE	10	2001	19278
TRUE	10	2001	2658
TRUE	11	2001	2953
FALSE	11	2001	21726
TRUE	12	2001	2912
FALSE	12	2001	21514
FALSE	1	2002	23106
TRUE	1	2002	3225
FALSE	2	2002	18910
TRUE	2	2002	2791
TRUE	3	2002	3373
FALSE	3	2002	22022
TRUE	4	2002	2825
FALSE	4	2002	20982
TRUE	5	2002	2787
FALSE	5	2002	19678
FALSE	6	2002	20017
TRUE	6	2002	2924
TRUE	7	2002	3168
FALSE	7	2002	22910
TRUE	8	2002	3023
FALSE	8	2002	21077
TRUE	9	2002	2948
FALSE	9	2002	19163
FALSE	10	2002	20825
TRUE	10	2002	3085
TRUE	11	2002	3154
FALSE	11	2002	20217
TRUE	12	2002	3387
FALSE	12	2002	22641
FALSE	1	2003	24502
TRUE	1	2003	3692
FALSE	2	2003	19917
TRUE	2	2003	3054
TRUE	3	2003	3348
FALSE	3	2003	21870
TRUE	4	2003	3361
FALSE	4	2003	21289
TRUE	5	2003	3466
FALSE	5	2003	21301
FALSE	6	2003	22956
TRUE	6	2003	3806
TRUE	7	2003	3748
FALSE	7	2003	24604
TRUE	8	2003	3587
FALSE	8	2003	20465
TRUE	9	2003	2992
FALSE	9	2003	20763
FALSE	10	2003	23212
TRUE	10	2003	2953
TRUE	11	2003	3014
FALSE	11	2003	23310
TRUE	12	2003	3087
FALSE	12	2003	24831
FALSE	1	2004	27422
TRUE	1	2004	3627
FALSE	2	2004	24038
TRUE	2	2004	3227
TRUE	3	2004	3463
FALSE	3	2004	24985
TRUE	4	2004	3291
FALSE	4	2004	24683
TRUE	5	2004	3155
FALSE	5	2004	24381
FALSE	6	2004	26573
TRUE	6	2004	3440
TRUE	7	2004	3866
FALSE	7	2004	28059
TRUE	8	2004	4177
FALSE	8	2004	27846
TRUE	9	2004	4170
FALSE	9	2004	27044
FALSE	10	2004	29270
TRUE	10	2004	4513
TRUE	11	2004	4514
FALSE	11	2004	29173
TRUE	12	2004	4906
FALSE	12	2004	31670
FALSE	1	2005	35051
TRUE	1	2005	5684
FALSE	2	2005	28613
TRUE	2	2005	4424
TRUE	3	2005	5428
FALSE	3	2005	34017
TRUE	4	2005	5026
FALSE	4	2005	31019
FALSE	5	2005	31651
TRUE	5	2005	5198
FALSE	6	2005	32685
TRUE	6	2005	5307
TRUE	7	2005	7793
FALSE	7	2005	36199
TRUE	8	2005	13322
FALSE	8	2005	41087
TRUE	9	2005	13581
FALSE	9	2005	37921
FALSE	10	2005	38148
TRUE	10	2005	10612
TRUE	11	2005	6550
FALSE	11	2005	35519
TRUE	12	2005	7270
FALSE	12	2005	38585
FALSE	1	2006	41976
TRUE	1	2006	10598
FALSE	2	2006	37235
TRUE	2	2006	14197
TRUE	3	2006	18644
FALSE	3	2006	41995
TRUE	4	2006	7512
FALSE	4	2006	32828
FALSE	5	2006	34354
TRUE	5	2006	7585
FALSE	6	2006	36137
TRUE	6	2006	9889
TRUE	7	2006	14686
FALSE	7	2006	38578
TRUE	8	2006	16634
FALSE	8	2006	37525
TRUE	9	2006	8311
FALSE	9	2006	30588
FALSE	10	2006	30842
TRUE	10	2006	8655
TRUE	11	2006	22693
FALSE	11	2006	38178
TRUE	12	2006	12316
FALSE	12	2006	36265
FALSE	1	2007	62548
TRUE	1	2007	52376
FALSE	2	2007	39147
TRUE	2	2007	24123
TRUE	3	2007	32403
FALSE	3	2007	46053
TRUE	4	2007	19212
FALSE	4	2007	36999
FALSE	5	2007	47127
TRUE	5	2007	36010
FALSE	6	2007	41255
TRUE	6	2007	23734
TRUE	7	2007	28306
FALSE	7	2007	45527
TRUE	8	2007	29496
FALSE	8	2007	45637
TRUE	9	2007	28281
FALSE	9	2007	43527
FALSE	10	2007	42953
TRUE	10	2007	29024
TRUE	11	2007	29386
FALSE	11	2007	44584
TRUE	12	2007	37680
FALSE	12	2007	50943
FALSE	1	2008	57575
TRUE	1	2008	43487
FALSE	2	2008	47443
TRUE	2	2008	37023
TRUE	3	2008	33341
FALSE	3	2008	47038
TRUE	4	2008	37146
FALSE	4	2008	47466
FALSE	5	2008	48594
TRUE	5	2008	37327
FALSE	6	2008	49678
TRUE	6	2008	38632
TRUE	7	2008	39446
FALSE	7	2008	51843
TRUE	8	2008	38271
FALSE	8	2008	49839
TRUE	9	2008	37791
FALSE	9	2008	48937
FALSE	10	2008	49709
TRUE	10	2008	38543
TRUE	11	2008	38723
FALSE	11	2008	51404
TRUE	12	2008	48101
FALSE	12	2008	61292
FALSE	1	2009	71505
TRUE	1	2009	65462
FALSE	2	2009	55074
TRUE	2	2009	50961
TRUE	3	2009	51509
FALSE	3	2009	56944
TRUE	4	2009	51967
FALSE	4	2009	54475
FALSE	5	2009	57302
TRUE	5	2009	53402
FALSE	6	2009	57984
TRUE	6	2009	53249
TRUE	7	2009	43550
FALSE	7	2009	56443
TRUE	8	2009	47902
FALSE	8	2009	57280
FALSE	9	2009	55231
TRUE	9	2009	69797
FALSE	10	2009	48141
TRUE	10	2009	69337
TRUE	11	2009	69700
FALSE	11	2009	48576
TRUE	12	2009	84097
FALSE	12	2009	54531
FALSE	1	2010	58031
TRUE	1	2010	90556
TRUE	2	2010	95453
FALSE	2	2010	48976
TRUE	3	2010	85368
FALSE	3	2010	51449
TRUE	4	2010	74358
FALSE	4	2010	47882
FALSE	5	2010	48725
TRUE	5	2010	76116
TRUE	6	2010	72806
FALSE	6	2010	47848
TRUE	7	2010	86014
FALSE	7	2010	51963
TRUE	8	2010	85950
FALSE	8	2010	51396
FALSE	9	2010	50396
TRUE	9	2010	93545
TRUE	10	2010	92442
FALSE	10	2010	51343
TRUE	11	2010	94700
FALSE	11	2010	55291
TRUE	12	2010	117721
FALSE	12	2010	63339
FALSE	1	2011	71358
TRUE	1	2011	139784
TRUE	2	2011	111822
FALSE	2	2011	56935
TRUE	3	2011	123554
FALSE	3	2011	61694
TRUE	4	2011	117713
FALSE	4	2011	62518
FALSE	5	2011	63185
TRUE	5	2011	119556
TRUE	6	2011	124850
FALSE	6	2011	65482
TRUE	7	2011	136395
FALSE	7	2011	67982
TRUE	8	2011	146910
FALSE	8	2011	70440
FALSE	9	2011	70948
TRUE	9	2011	157676
TRUE	10	2011	162488
FALSE	10	2011	72882
TRUE	11	2011	162004
FALSE	11	2011	78535
TRUE	12	2011	214724
FALSE	12	2011	91163
FALSE	1	2012	98772
TRUE	1	2012	242118
TRUE	2	2012	192381
FALSE	2	2012	81882
TRUE	3	2012	203556
FALSE	3	2012	86708
TRUE	4	2012	194151
FALSE	4	2012	80638
FALSE	5	2012	86373
TRUE	5	2012	198532
TRUE	6	2012	201303
FALSE	6	2012	84847
TRUE	7	2012	223198
FALSE	7	2012	88521
TRUE	8	2012	230289
FALSE	8	2012	90067
FALSE	9	2012	92494
TRUE	9	2012	293451
TRUE	10	2012	332487
FALSE	10	2012	101526
TRUE	11	2012	474010
FALSE	11	2012	102098
FALSE	12	2012	127586
TRUE	12	2012	964542
FALSE	1	2013	149986
TRUE	1	2013	1125334
TRUE	2	2013	885314
FALSE	2	2013	132293
TRUE	3	2013	912705
FALSE	3	2013	151483
TRUE	4	2013	852503
FALSE	4	2013	148496
FALSE	5	2013	136161
TRUE	5	2013	880302
TRUE	6	2013	852738
FALSE	6	2013	131462
TRUE	7	2013	909342
FALSE	7	2013	141363
TRUE	8	2013	947827
FALSE	8	2013	142945
FALSE	9	2013	130588
TRUE	9	2013	838323
TRUE	10	2013	929629
FALSE	10	2013	133472
TRUE	11	2013	922194
FALSE	11	2013	134851
FALSE	12	2013	162829
TRUE	12	2013	1250673
FALSE	1	2014	188089
TRUE	1	2014	1489940
TRUE	2	2014	1172710
FALSE	2	2014	153182
TRUE	3	2014	1282235
FALSE	3	2014	168174
TRUE	4	2014	1131194
FALSE	4	2014	184312
FALSE	5	2014	184419
TRUE	5	2014	1137539
TRUE	6	2014	1111168
FALSE	6	2014	245904
TRUE	7	2014	1630956
FALSE	7	2014	442069
TRUE	8	2014	1650976
FALSE	8	2014	455840
FALSE	9	2014	438027
TRUE	9	2014	1571613
TRUE	10	2014	1668790
FALSE	10	2014	473233
TRUE	11	2014	1806827
FALSE	11	2014	336089
FALSE	12	2014	307687
TRUE	12	2014	2463988
FALSE	1	2015	278808
TRUE	1	2015	2515635
TRUE	2	2015	2334236
FALSE	2	2015	223917
TRUE	3	2015	2479082
FALSE	3	2015	250803
FALSE	4	2015	234150
TRUE	4	2015	2181573
FALSE	5	2015	237163
